"Ticker","Nome","Negócios","Última (R$)","Variação"
"MEAL3","IMC Alimentação","232.900","1,20","+0,00%"
"TGMA3","Tegma","232.700","35,40","+1,00%"
"BRBI11","BR Partners","222.500","15,12","+1,14%"
"RCSL3","Recrusul","209.600","2,79","-0,36%"
"RNEW4","Renova Energia","204.000","0,84","+1,20%"
"BMOB3","Bemobi","197.500","19,15","+1,32%"
"SAPR3","Sanepar","192.300","6,35","+2,75%"
"USIM3","Usiminas","181.700","5,25","+1,16%"
"TAEE4","Taesa","173.800","11,85","+1,28%"
"UNIP6","Unipar","168.800","61,00","+0,89%"
"VTRU3","VITRUBREPCOM","164.700","9,49","-1,45%"
"DEXP3","Dexxos","158.400","9,39","-0,53%"
"LOGG3","LOG CP","153.900","21,63","-0,23%"
"BRST3","Brisanet","145.600","2,79","-0,36%"
"TAEE3","Taesa","145.300","11,72","-0,34%"
"OPCT3","OceanPact","143.400","5,88","-0,34%"
"PRNR3","Priner","137.200","16,46","+0,06%"
"AGXY3","AgroGalaxy","134.500","8,50","+46,05%"
"AERI3","Aeris Energy","130.800","4,20","-1,18%"
"MBLY3","Mobly","126.900","0,94","-1,05%"
"PTNT4","Pettenati","124.100","4,74","-4,05%"
"ROMI3","Indústrias ROMI","114.700","9,27","+1,31%"
"ETER3","Eternit","112.100","4,37","+0,00%"
"AGRO3","BrasilAgro","97.300","21,30","+1,48%"
"INEP4","Inepar","97.100","1,65","-0,60%"
"PFRM3","Profarma","96.700","8,54","+0,12%"
"ITSA3","Itaúsa","96.400","11,08","+0,64%"
"EUCA4","Eucatex","95.000","17,99","+4,17%"
"BRKM3","Braskem","92.400","10,99","+7,53%"
"OIBR4","Oi","81.700","8,31","+2,59%"
"TECN3","Technos","80.300","6,21","+1,97%"
"SEQL3","Sequoia Logística","80.100","1,96","+0,51%"
"SANB3","Banco Santander","77.400","14,22","+1,43%"
"SANB4","Banco Santander","72.600","15,69","+1,42%"
"CSUD3","CSU Cardsystem","70.300","17,97","-0,28%"
"BIOM3","Biomm","69.100","10,40","-1,42%"
"VSTE3","LE LIS BLANC","68.100","6,04","-0,17%"
"BRAP3","Bradespar","60.100","15,14","-0,72%"
"TRAD3","Traders Club","59.300","7,89","-2,23%"
"ALPK3","Estapar","59.000","3,43","+1,18%"
"DMVF3","D1000 Varejo Farma","52.100","5,30","-0,93%"
"ALLD3","Allied","51.600","6,80","+0,00%"
"UCAS3","Unicasa","48.400","1,50","+2,74%"
"AMBP3","Ambipar","47.600","130,67","-2,85%"
"LUPA3","Lupatech","47.500","1,23","-0,81%"
"IGTI3","Jereissati Participações","38.300","2,58","+0,78%"
"IGTI3","Iguatemi","38.300","2,58","+0,78%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","37.400","1,87","+0,00%"
"GGBR3","Gerdau","35.900","14,96","+0,40%"
"TCSA3","Tecnisa","33.200","1,25","+0,81%"
"VIVR3","Viver","32.900","0,92","+1,10%"
"BOBR4","Bombril","31.700","1,59","-2,45%"
"ELMD3","Eletromidia","31.200","31,05","+0,32%"
"DOTZ3","Dotz","26.400","6,74","+4,98%"
"FHER3","Fertilizantes Heringer","26.000","4,03","+6,61%"
"PDTC3","Padtec","24.100","1,35","+0,75%"
"CAMB3","Cambuci","22.400","9,71","-0,61%"
"LVTC3","WDC Networks","21.100","3,04","-2,56%"
"BAZA3","Banco da Amazônia","20.700","79,85","-4,71%"
"NGRD3","Neogrid","20.100","26,36","-7,18%"
"HOOT4","Hotéis Othon","19.400","3,80","-4,28%"
"LAND3","Terra Santa","19.100","11,73","+2,00%"
"RNEW11","Renova Energia","18.900","2,56","-1,16%"
"AALR3","Alliança","17.800","5,83","+1,75%"
"UNIP5","Unipar","17.600","56,01","+0,92%"
"TASA3","Taurus","17.500","8,03","+0,12%"
"RNEW3","Renova Energia","16.400","0,85","+0,00%"
"GOAU3","Metalúrgica Gerdau","16.200","8,72","+0,23%"
"ISAE3","ISA Energia","15.500","31,40","-1,63%"
"ENGI4","Energisa","14.100","8,69","+0,35%"
"FICT3","Fictor Alimentos","12.200","3,74","-1,58%"
"CGRA4","Grazziotin","11.600","26,99","+2,70%"
"ALUP4","Alupar","10.700","9,99","+1,32%"
"WEST3","Westwing","9.300","4,33","-3,56%"
"BIED3","BIED3","9.200","3,84","-2,78%"
"LOGN3","Log-In","9.000","24,70","+0,20%"
"RAPT3","Randon","8.900","7,66","+0,39%"
"UNIP3","Unipar","8.600","53,81","-0,68%"
"BMEB4","Banco Mercantil do Brasil","8.500","39,47","-0,10%"
"CEBR3","CEB","8.400","18,32","-0,27%"
"ATMP3","Atma","8.400","1,27","+5,83%"
"BEES3","Banestes","8.300","8,77","+0,00%"
"EALT4","Electro Aço Altona","8.200","14,57","+1,82%"
"EPAR3","Embpar Participações","7.800","4,60","+4,07%"
"ENGI3","Energisa","7.600","12,25","-3,85%"
"WHRL4","Whirlpool","7.500","4,89","+1,45%"
"REAG3","REAG3","7.400","3,80","+5,56%"
"SCAR3","São Carlos","7.100","17,20","+0,00%"
"RSID3","Rossi Residencial","6.900","1,92","-0,52%"
"MNPR3","Minupar","6.500","25,18","-5,59%"
"NUTR3","Nutriplant","6.300","3,57","-1,65%"
"EMAE4","EMAE","6.000","30,65","-3,01%"
"HAGA4","Haga","6.000","1,23","+0,00%"
"OFSA3","Ourofino Saúde Animal","5.800","24,30","+1,00%"
"INEP3","Inepar","5.600","2,28","-0,87%"
"AMAR11","Lojas Marisa","5.600","0,26","-13,33%"
"RSUL4","Metalúrgica Riosulense","5.300","67,75","+5,83%"
"MTSA4","Metisa","4.900","41,60","-2,69%"
"TPIS3","Triunfo","4.700","4,07","-2,86%"
"BGIP4","Banese","4.500","29,89","+0,61%"
